aut-369 知訥
aut-37 迦留陀伽
aut-370 智徹
aut-371 淨善
aut-372 如Î
aut-373 德輝
aut-374 天友
aut-375 世友
aut-376 費長房
aut-377 志磐
aut-378 念常
aut-379 覺岸
aut-38 馬鳴
aut-380 幻輪
aut-381 一然
aut-382 僧祐
aut-383 曇摩難提
aut-384 彥悰
aut-385 冥詳
aut-386 慧立
aut-387 慧皎
aut-388 贊寧
aut-389 如惺
aut-39 鳩摩羅什
aut-390 覺訓
aut-391 僧詳
aut-392 士衡
aut-393 戒珠
aut-394 道原
aut-395 居頂
aut-396 契嵩
aut-397 懷信
aut-398 非濁
aut-399 圓照
aut-4 白法祖
aut-40 慧覺
aut-400 元開
aut-401 延一
aut-402 法琳
aut-403 復禮
aut-404 玄嶷
aut-405 祥邁
aut-406 道世
aut-407 道誠
aut-408 希麟
aut-409 智廣
aut-41 吉迦夜
aut-410 全眞
aut-411 禮言
aut-412 怛多蘗多波羅
aut-413 迦毗羅
aut-414 慧月
aut-415 拂多誕
aut-416 景淨
aut-417 法經
aut-418 靖邁
aut-419 恆安
aut-42 道略
aut-420 最澄
aut-421 空海
aut-422 常曉
aut-423 圓行
aut-424 圓仁
aut-425 惠運
aut-426 圓珍
aut-427 宗叡
aut-428 安然
aut-429 圓超
aut-43 僧伽斯那
aut-430 玄日
aut-431 安遠
aut-432 平祚
aut-433 藏俊
aut-434 榮穩
aut-435 永超
aut-436 義天
aut-437 明一
aut-438 中算
aut-439 覺鑁
aut-44 求那毗地
aut-440 貞慶
aut-441 平備
aut-442 濟暹
aut-443 湛叡
aut-444 喜海
aut-445 信瑞
aut-446 證忍
aut-447 良忠
aut-448 源信
aut-449 宥範
aut-45 法救
aut-450 杲寶
aut-451 賴瑜
aut-452 宥快
aut-453 曇寂
aut-454 賴尊
aut-455 眞寂
aut-456 眞興
aut-457 南忠
aut-458 明覺
aut-459 定深
aut-46 維祇難
aut-460 高辧
aut-461 凝然
aut-462 照遠
aut-463 宗性
aut-464 湛慧
aut-465 快道
aut-466 法幢
aut-467 英憲
aut-468 安澄
aut-469 快憲
aut-47 法炬
aut-470 藏海
aut-471 增賀
aut-472 善珠
aut-473 良算
aut-474 光胤
aut-475 普寂
aut-476 基辧
aut-477 明詮
aut-478 觀理
