date30 中天竺
aut-620 智海
naut-575 廣貴
ndiv-26 般若論疏
naut-625 智徹
aut-302 善月
naut-953 居頂
naut-600 彥琪
naut-459 師會
ndiv-57 古剎傳
naut-46 三昧蘇[口*縛]羅
aut-175 般若惹羯羅
resp80 再治
naut-607 弋咸
naut-311 寶亮
source5 source5 source5 None
naut-182 法聰
naut-83 戒環
aut-44 求那毗地
naut-336 廣承
aut-478 觀理
naut-360 性祗
naut-395 慧暉
naut-429 時舉
resp211 等集
aut-121 迦葉摩騰
aut-622 賢寶
naut-346 禪能
naut-944 景毅
naut-659 性福編集
naut-149 智圓
naut-259 仲希
naut-746 紹熏
ndiv-36 因明論疏
naut-337 智旭會補
naut-1154 明喜
naut-313 行滿
naut-872 文寶
naut-651 本瑞直註、道霖
naut-633 錢伊庵編
naut-405 元康
naut-36 菩提留支
ndiv-28 雜集論疏
naut-1086 夏道人
aut-77 提雲般若
naut-538 宗本
naut-470 本嵩
naut-950 宗黼
resp220 編次
naut-703 普禮
resp161 較定
resp196 撰錄
naut-441 如吉
resp162 彙編
aut-609 隆譽
aut-604 法照
aut-645 如瑩
naut-221 廣伸
naut-181 善導
aut-65 法成
resp170 卷
aut-588 宗快
naut-1079 一行慧覺
aut-171 般若斫羯羅
aut-480 尊辧
naut-1019 行從
naut-1135 黎眉
naut-969 思廉
resp97 合會
naut-157 知禮
aut-185 世親
naut-636 法泉繼
naut-254 良賁
aut-511 英心
aut-26 般若
naut-894 祖定
naut-971 文朗
resp35 鈔
naut-224 如觀
naut-160 受汰
naut-264 謝觀光
aut-55 菩提流支
aut-586 aut-586 aut-586 None
resp12 要
naut-721 了見、(侍者)
aut-31 佛陀扇多
resp202 輯集
aut-14 曇無讖
aut-455 眞寂
resp32 說
aut-148 指空
naut-238 子眞乩訂
naut-225 圓杲
aut-482 信堅
aut-86 道M
aut-102 那提
naut-931 可興
naut-328 慧因
naut-706 普覺
role-54 參學侍者
aut-324 宗密
naut-817 尚賢
aut-460 高辧
naut-797 梵閱
naut-432 廣修
naut-768 智瑾
naut-602 德煇重編、大訴
aut-111 闍那耶舍
naut-398 失名者補作
naut-370 德清纂
aut-517 證眞
naut-1119 瑞璋
ndiv-45 禪宗語錄通集
role-60 傳法
naut-993 中端
naut-878 希陵
naut-230 鳩摩羅什
aut-459 定深
naut-95 元粹
aut-205 彌勒
aut-278 覺吉祥智
naut-823 妙倫
aut-162 菩提流志
naut-1017 法潤
naut-175 憬興
naut-1134 聶先
aut-294 寂友
aut-340 神泰
naut-957 清歲
naut-250 智顗說、灌頂
resp203 增訂
naut-539 實賢
aut-42 道略
naut-1040 士慘
resp101 略註
aut-163 菩提仙
aut-398 非濁
ndiv-47 釋迦傳
naut-35 般若斫羯囉
naut-439 繼忠
naut-740 守愿
naut-362 曇鸞
resp216 隨錄
resp81 排科
naut-70 復[共/(電-雨)]
naut-945 大圓
aut-46 維祇難
aut-36 僧伽跋澄
naut-1049 性朗
naut-187 慧淨
naut-29 菩提金剛
aut-176 般若力
ndiv-42 戒律宗
resp135 再譯
resp8 記
resp34 參訂
naut-831 妙因
aut-293 摩咥里制C
naut-1110 弘璧
naut-363 智愷
naut-350 智首
resp14 別行疏
naut-21 馬鳴菩薩集
naut-291 無相
naut-41 輸婆迦羅
aut-8 施護
naut-307 周上智
aut-549 覺印
naut-571 信菴
aut-392 士衡
resp92 會補
naut-667 一辯問、覺
naut-989 胤丘
date28 日本
naut-484 遍智
naut-68 湛然
role-45 門人
aut-458 明覺
naut-864 了因
aut-153 智通
resp11 釐經合論
naut-140 善月
source8 source8 source8 None
aut-164 釋智
aut-240 迦旃延子
naut-534 澄彧
aut-358 飛錫
source1 source1 source1 None
aut-531 澄豪
naut-165 普觀
aut-11 瞿曇僧伽堤婆
aut-112 寶思惟
naut-317 了童
naut-949 寶日
naut-222 林兆恩
aut-166 不空
ndiv-10 法華部疏
ndiv-40 華嚴宗
naut-407 文才
naut-857 修義
resp111 修
naut-580 陶善
naut-964 文暐
naut-33 尸羅達摩
ndiv-39 天臺宗
naut-970 文度
resp68 添改
aut-276 龍樹
aut-78 曇摩流支
date45 秦
aut-167 海雲
naut-1023 曇像
aut-70 曇摩伽陀耶舍
naut-389 大惠
aut-506 鳳潭
aut-353 仁嶽]
naut-567 卍蓮
naut-822 如海
aut-613 明達
aut-636 澄圓
ndiv-22 四論部疏
resp224 續集
naut-655 子淳
naut-1117 彭希涑
aut-618 嚴覺
resp236 下語寄言
naut-594 道楷
aut-610 蓮惠
aut-382 僧祐
naut-501 造玄增
naut-652 性福
naut-287 守倫
naut-76 宗密
naut-186 灌頂記
resp181 補定
aut-522 惟賢
naut-735 妙高
resp82 重訂
aut-591 寶達
aut-309 慧沼
resp79 集疏
ndiv-24 掌珍論疏
naut-132 續法
naut-1006 妙門
naut-998 希顏
aut-493 慚安
naut-299 廣和編定
naut-8 失譯
aut-279 善寂
ndiv-46 禪宗語錄別集
naut-514 妙音
naut-212 曇應
naut-609 道安注
naut-125 廣莫直
aut-431 安遠
naut-645 子昇
naut-1090 智證
aut-564 大玄
naut-1016 宗信
aut-74 祇多蜜
aut-452 宥快
aut-489 聞證
aut-200 毗舍佉
date7 吳
naut-231 偈
naut-1168 孟獻忠
date25 元
naut-566 張淵
naut-267 諸萬里
naut-129 劉道開
naut-1098 宗鑑
aut-601 II
naut-130 靈耀
naut-1148 曇噩撰
aut-369 知訥
naut-783 光睦
naut-263 宋濂文
naut-214 宗鏡
naut-915 良圭
aut-357 迦才
naut-809 以文
naut-918 紹宗
resp27 會合
naut-306 實乘
naut-974 智勝
naut-479 善堅
aut-1 佛陀耶舍
aut-138 阿旺札什
aut-125 佛陀多羅
naut-982 祖光
naut-515 守一述、行枝
naut-879 行純
aut-332 義寂
naut-301 佛閑立科、智一
naut-638 永盛
naut-61 闍那多迦
aut-250 世親
naut-757 覺孫
naut-909 宗滿
naut-396 圓暉
naut-779 紹甄
resp48 排
naut-521 戒顯
resp244 謹撰
naut-98 焦竑
naut-343 道言
naut-63 吉藏
aut-503 聖詮
aut-439 覺鑁
naut-304 法清集疏
naut-693 慶會
naut-385 道邑
naut-1174 智覺
aut-19 瞿曇法智
aut-330 懷素
naut-53 僧伽婆羅譯抄之
naut-39 達磨栖那
aut-104 法場
naut-1167 心泰
aut-488 貞海
naut-513 智瑞
naut-1089 建基
naut-409 鎭澄
resp52 排定
aut-580 日向
resp3 等譯
aut-311 澄觀
aut-485 尊通
naut-425 處謙
resp133 譯重頌
naut-406 曉月
aut-396 契嵩
naut-25 筏提摩多
aut-157 蘇嚩羅
ndiv-03 般若部
naut-18 法賢
resp209 同錄
resp239 纂閱
naut-753 法恩
aut-605 淨覺
date32 南北朝
role-58 法嗣
naut-923 繼祖
resp219 說義
naut-1002 慧鏡
naut-829 了覺
aut-262 龍樹
aut-107 達摩多羅
naut-791 元靖
naut-868 文斌
naut-1062 慧辯
aut-391 僧詳
aut-132 金剛智
aut-384 彥悰
naut-123 陸西星
naut-1059 朱嘉謨
naut-428 辯才
naut-229 經
aut-404 玄嶷
naut-1029 明總
naut-673 慧印校
aut-355 道¬
naut-604 宗壽
naut-754 德紀
aut-69 毗尼多流支
aut-54 翔公
naut-85 德清
naut-269 大文
aut-154 難提
aut-236 僧伽提婆
naut-99 弘麗
resp137 會譯
aut-208 鳩摩羅佛提
naut-887 淨韻
aut-457 南忠
naut-333 書玉
aut-426 圓珍
naut-1181 李華
naut-678 慧南
naut-201 眞嵩
ndiv-34 異部宗輪論疏
aut-32 地婆訶羅
resp233 勘
naut-925 元浩
naut-1099 本覺
aut-388 贊寧
naut-435 光定
aut-248 瞿沙
aut-93 O良耶舍
naut-103 懷遠
aut-98 波羅頗蜜多羅
naut-383 廣益
resp98 續釋
naut-1010 自覺
aut-638 觀祐
naut-92 周琪
naut-476 善熹
naut-770 祖誾
naut-369 法藏造
naut-601 傳燈重編竝
naut-257 提婆
resp206 校正
aut-159 解脫師子
aut-274 商羯羅主
aut-120 勿提提犀魚
naut-451 普容
aut-28 瞿曇般若流支
naut-1031 妙宗
aut-256 分別明
naut-1008 廷璨
naut-358 道標
naut-1163 陶明潛
naut-517 妙蓮
naut-585 菩提達磨
aut-524 覺超
source12 source12 source12 None
naut-682 仲介
naut-1085 受登
naut-424 宗翌
naut-1052 黃大廣
naut-460 承遷
naut-1083 智肱
resp113 立
naut-379 遁倫
nresp-252 同譯
resp145 述註
naut-89 清遠
naut-758 惟康
resp171 答
resp67 撰集
naut-820 智折
naut-320 明曠刪
resp74 科註
naut-1001 至寶
ndiv-09 般若部疏
naut-185 戒度
naut-913 德粹
aut-395 居頂
date21 西秦
resp109 補遺
resp148 敕編
naut-399 元瑜
naut-1107 法藏集
date2 後秦
resp119 敬錄
aut-631 亮尊]
naut-327 法銑
aut-440 貞慶
aut-560 戒定
naut-371 聖法
naut-421 傳燈說、靈耀
naut-308 本如述、處咸續
naut-891 禪了
naut-958 宗義
aut-202 僧伽跋陀羅
naut-412 行舟
naut-86 永光
naut-559 芳慧
naut-1060 文智
naut-82 表員
aut-481 道範
resp168 草
naut-166 遇榮
naut-495 惟謹
naut-38 菩提[口*栗]使
naut-1183 慧堅
resp245 重集
naut-542 成時(評點節要)
naut-889 道昭
naut-976 曇頓
date42 金
naut-943 慧朗
aut-523 敬光
naut-922 自成
naut-367 正遠
naut-1162 善燦
aut-572 眞慧
naut-837 守靜
aut-400 元開
naut-687 處凝
naut-71 慧苑
aut-475 普寂
resp146 編集
naut-493 義操
aut-160 慈賢
naut-1058 柳湞
aut-553 深賢
naut-816 淨嘉
resp228 重續
aut-338 智周
resp100 出
naut-1074 許元釗
naut-1013 義初
naut-562 常攝
naut-965 雲澹
aut-230 舍利子
aut-602 文軌
aut-405 祥邁
naut-649 克勤評唱
naut-1050 謝大材
naut-1108 崔致遠結
naut-189 性澄句
resp147 同述
aut-189 佛陀什
aut-464 湛慧
naut-45 阿目佉譯
naut-990 文晟
naut-248 存吾闡
naut-297 廣和標
naut-903 居簡
nresp-253 
naut-478 忠
resp237 同集
naut-874 先[者*見]
aut-486 玄叡
aut-438 中算
aut-640 兼胤
naut-318 眞宗皇帝
naut-996 溥震
naut-163 圓測
resp253 等重訂
naut-226 王起隆
resp62 譯偈
naut-556 張師誠
naut-723 德溥
naut-455 智旭重
aut-34 馬鳴
naut-734 惟實
resp96 重定
aut-360 傳燈
naut-394 法盈
aut-328 道宣
naut-205 不可思議
aut-237 迦多衍尼子
naut-237 溥仁乩
naut-286 聞達
resp158 編修
naut-981 梵琦
resp149 敕集
naut-1028 師儼
naut-1000 寶盈
naut-365 元曉(疏竝別記)
resp103 集撰
resp208 較
aut-100 逹摩笈多
naut-737 實仁
aut-29 智嚴
resp204 述竝註
aut-126 善無畏
naut-463 師會述、善熹
aut-103 沮渠京聲
aut-621 定眞
naut-104 思坦
naut-404 惠達
naut-266 洪恩
role-59 嗣法參學
aut-20 天息災
naut-699 德秀
naut-446 可觀
aut-409 智廣
naut-397 遁麟
naut-714 祖淳
resp41 訂
naut-896 光玉
naut-499 金俱吒撰集
aut-291 實叉難陀
naut-139 智嚴
aut-607 惠辨
aut-441 平備
naut-980 祖銘
naut-749 淨伏
resp17 疏義
aut-181 金俱C
naut-560 瑞聖歎
resp197 箋記
source14 source14 source14 None
naut-1007 復初
naut-220 眞可
aut-263 提婆羅
naut-416 了然
aut-548 永嚴
ndiv-37 三論宗
aut-325 眞宗
naut-963 無我
naut-867 師楷
naut-530 迦才
naut-975 德琇
naut-1041 道盛
naut-380 從芳
naut-1069 惟能
resp205 著竝釋
naut-630 眞啟編
aut-414 慧月
naut-1155 高承埏補
naut-951 道瑄
aut-318 智圓
aut-67 智嚴
ndiv-52 感應神異傳一
naut-1156 通旭
aut-249 塞建陀羅
naut-305 栖復
naut-72 李通玄
aut-556 興雅
date38 北魏
aut-544 元杲
naut-51 義雲法金剛．菩提仙
aut-180 翻經院阿闍梨[不空]
naut-841 善珙
naut-710 嗣端
naut-255 淨源
role-55 嗣法門人
naut-631 世宗皇帝
aut-582 心覺
resp234 編校
naut-611 [虎-儿+丘]一
naut-492 憬瑟
naut-75 方澤
ndiv-54 雜傳三
aut-337 遁倫
resp33 選述
naut-1139 達珍
aut-97 若那跋陀羅
naut-720 志清
aut-364 方會
naut-662 宗杲集竝著
naut-102 子璿
aut-425 惠運
naut-351 懷素
naut-227 無是道人
resp139 敕譯
naut-211 道川頌竝著
aut-555 榮然
naut-933 祖運
naut-183 眞覺重
aut-579 日興
naut-243 性起
naut-1133 瞿汝稷
naut-557 眞益願
naut-422 道邃
date4 西晉
aut-48 法立
resp128 等敕集
naut-143 廣莫
aut-497 普機
naut-6 利言
aut-306 師會
aut-397 懷信
aut-221 婆藪槃豆
naut-531 懷感
naut-303 崇俊
naut-1114 了圓
naut-505 澄照
naut-772 了悟
naut-1084 禪修
naut-666 行秀仰答
aut-495 清範
aut-333 曇鸞
aut-235 迦旃延子
naut-494 法全
naut-1024 清萃
naut-596 慧霞
aut-174 憬瑟
naut-377 碩法師
aut-323 寶臣
aut-273 提雲般若
aut-210 僧伽提婆
naut-450 志磐
aut-476 基辧
naut-1093 王勃
naut-131 正相
aut-525 最圓
naut-431 最澄
naut-268 通容
aut-530 良祐
aut-60 不空
naut-589 明恂隨錄、慧智
aut-514 義眞
naut-56 若那譯
naut-643 淨符
naut-1020 普崇
naut-730 普暉
aut-135 一行
naut-728 元清
naut-1021 法爲
aut-456 眞興
naut-898 應儼
naut-1164 郭凝之彙編
source2 source2 source2 None
aut-35 寶雲
resp142 增修
aut-336 圓暉
ndiv-44 禪宗雜著
aut-320 灌頂
naut-115 智旭
naut-622 師遠
naut-239 寂燄
aut-53 僧伽娑羅
naut-929 一志
aut-546 寬助
naut-579 彭紹升著、弟子
naut-34 實叉難陀
resp248 重校
naut-22 觀無畏尊者集
naut-376 遍滿
naut-261 道楷述、懷深
resp59 纂
aut-179 大興善寺翻經院阿闍梨[不空]
aut-257 波羅頗蜜多羅
naut-537 道衍
resp183 詳解
naut-57 阿謨伽
naut-169 太賢
naut-762 慧雲
resp94 輯釋
aut-308 湛然
naut-1189 慧影
resp115 製
naut-1103 幻輪
naut-403 羅什
aut-304 良賁
naut-1129 玄極
naut-329 今釋
resp226 擊節
naut-17 附西晉錄
aut-75 尸羅逹摩
resp132 續編
naut-208 大隱
naut-1159 志明
naut-529 道綽
date16 姚秦
naut-907 祖安
naut-381 普光
naut-1152 吳侗集
naut-1109 幽貞刊纂
aut-573 親鸞]
naut-273 大顛祖師
aut-501 壽靈
naut-454 仁潮
aut-526 皇慶
resp152 等編
ndiv-01 方等部
naut-629 圓悟
aut-18 求那跋陀羅
resp122 疏鈔
naut-282 智雲
aut-430 玄日
aut-216 功德施
aut-385 冥詳
naut-725 慧曇
naut-668 道忠
resp144 校
naut-855 道亨
naut-447 法登
ndiv-38 法相宗
naut-979 曇噩
naut-290 如愚
naut-1092 咫觀
naut-427 正謐
aut-401 延一
naut-1143 火蓮集梓
naut-752 正因
aut-116 馬鳴
resp107 集解
aut-504 靈波
naut-279 智銓
resp141 略
naut-885 洪喬祖
naut-835 正從
naut-685 道務
naut-471 裴休
aut-541 德一
naut-1185 延一
naut-815 正一
naut-610 退隱
aut-435 永超
naut-20 竺法護
naut-1149 大壑
aut-303 圓測
aut-24 康僧會
naut-986 良彥
naut-204 覺苑
aut-290 蓮華戒
naut-656 正覺
aut-239 尸陀槃尼
aut-63 般若
aut-596 體請
aut-434 榮穩
naut-591 宗密答
naut-276 法雲
aut-356 道綽
naut-74 李贄簡
naut-709 子文
source7 source7 source7 None
naut-819 宗會
naut-777 智沂
naut-934 志道
aut-539 經尋
naut-736 元愷
naut-840 正定
naut-593 文[冰-水+中](重校編集)
naut-558 古崑
naut-637 知訥
naut-1087 如惺
aut-639 尊圓]
aut-450 杲寶
naut-218 程衷懋補註
naut-1026 道京
naut-838 慈證
naut-858 景元
naut-999 忻悟
naut-472 見登之
naut-1011 慶預
